score, v[0], v[1], v[2], v[3], v[4]
28, 1, 3, 4, 5, 15
28, 1, 3, 4, 6, 14
28, 1, 3, 4, 7, 13
28, 1, 3, 4, 8, 12
28, 1, 3, 4, 9, 11
28, 1, 3, 5, 6, 13
28, 1, 3, 5, 7, 12
28, 1, 3, 5, 8, 11
28, 1, 3, 5, 9, 10
28, 1, 3, 6, 7, 11
28, 1, 3, 6, 8, 10
28, 1, 3, 7, 8, 9
28, 1, 4, 5, 6, 12
28, 1, 4, 5, 7, 11
28, 1, 4, 5, 8, 10
28, 1, 4, 6, 7, 10
28, 1, 4, 6, 8, 9
28, 1, 5, 6, 7, 9
28, 2, 3, 4, 5, 14
28, 2, 3, 4, 6, 13
28, 2, 3, 4, 7, 12
28, 2, 3, 4, 8, 11
28, 2, 3, 4, 9, 10
28, 2, 3, 5, 6, 12
28, 2, 3, 5, 7, 11
28, 2, 3, 5, 8, 10
28, 2, 3, 6, 7, 10
28, 2, 3, 6, 8, 9
28, 2, 4, 5, 6, 11
28, 2, 4, 5, 7, 10
28, 2, 4, 5, 8, 9
28, 2, 4, 6, 7, 9
28, 2, 5, 6, 7, 8
28, 3, 4, 5, 6, 10
28, 3, 4, 5, 7, 9
28, 3, 4, 6, 7, 8
29, 0, 1, 2, 3, 23
29, 0, 1, 2, 4, 22
29, 0, 1, 2, 5, 21
29, 0, 1, 2, 6, 20
29, 0, 1, 2, 7, 19
29, 0, 1, 2, 8, 18
29, 0, 1, 2, 9, 17
29, 0, 1, 2, 10, 16
29, 0, 1, 2, 11, 15
29, 0, 1, 2, 12, 14
29, 0, 1, 3, 4, 21
29, 0, 1, 3, 5, 20
29, 0, 1, 3, 6, 19
29, 0, 1, 3, 7, 18
29, 0, 1, 3, 8, 17
29, 0, 1, 3, 9, 16
29, 0, 1, 3, 10, 15
29, 0, 1, 3, 11, 14
29, 0, 1, 3, 12, 13
29, 0, 1, 4, 5, 19
29, 0, 1, 4, 6, 18
29, 0, 1, 4, 7, 17
29, 0, 1, 4, 8, 16
29, 0, 1, 4, 9, 15
29, 0, 1, 4, 10, 14
29, 0, 1, 4, 11, 13
29, 0, 1, 5, 6, 17
29, 0, 1, 5, 7, 16
29, 0, 1, 5, 8, 15
29, 0, 1, 5, 9, 14
29, 0, 1, 5, 10, 13
29, 0, 1, 5, 11, 12
29, 0, 1, 6, 7, 15
29, 0, 1, 6, 8, 14
29, 0, 1, 6, 9, 13
29, 0, 1, 6, 10, 12
29, 0, 1, 7, 8, 13
29, 0, 1, 7, 9, 12
29, 0, 1, 7, 10, 11
29, 0, 1, 8, 9, 11
29, 0, 2, 3, 4, 20
29, 0, 2, 3, 5, 19
29, 0, 2, 3, 6, 18
29, 0, 2, 3, 7, 17
29, 0, 2, 3, 8, 16
29, 0, 2, 3, 9, 15
