score, v[0], v[1], v[2], v[3]
28, 0, 6, 9, 13
28, 0, 6, 10, 12
28, 0, 7, 8, 13
28, 0, 7, 9, 12
28, 0, 7, 10, 11
28, 0, 8, 9, 11
28, 1, 2, 3, 22
28, 1, 2, 4, 21
28, 1, 2, 5, 20
28, 1, 2, 6, 19
28, 1, 2, 7, 18
28, 1, 2, 8, 17
28, 1, 2, 9, 16
28, 1, 2, 10, 15
28, 1, 2, 11, 14
28, 1, 2, 12, 13
28, 1, 3, 4, 20
28, 1, 3, 5, 19
28, 1, 3, 6, 18
28, 1, 3, 7, 17
28, 1, 3, 8, 16
28, 1, 3, 9, 15
28, 1, 3, 10, 14
28, 1, 3, 11, 13
28, 1, 4, 5, 18
28, 1, 4, 6, 17
28, 1, 4, 7, 16
28, 1, 4, 8, 15
28, 1, 4, 9, 14
28, 1, 4, 10, 13
28, 1, 4, 11, 12
28, 1, 5, 6, 16
28, 1, 5, 7, 15
28, 1, 5, 8, 14
28, 1, 5, 9, 13
28, 1, 5, 10, 12
28, 1, 6, 7, 14
28, 1, 6, 8, 13
28, 1, 6, 9, 12
28, 1, 6, 10, 11
28, 1, 7, 8, 12
28, 1, 7, 9, 11
28, 1, 8, 9, 10
28, 2, 3, 4, 19
28, 2, 3, 5, 18
28, 2, 3, 6, 17
28, 2, 3, 7, 16
28, 2, 3, 8, 15
28, 2, 3, 9, 14
28, 2, 3, 10, 13
28, 2, 3, 11, 12
28, 2, 4, 5, 17
28, 2, 4, 6, 16
28, 2, 4, 7, 15
28, 2, 4, 8, 14
28, 2, 4, 9, 13
28, 2, 4, 10, 12
28, 2, 5, 6, 15
28, 2, 5, 7, 14
28, 2, 5, 8, 13
28, 2, 5, 9, 12
28, 2, 5, 10, 11
28, 2, 6, 7, 13
28, 2, 6, 8, 12
28, 2, 6, 9, 11
28, 2, 7, 8, 11
28, 2, 7, 9, 10
28, 3, 4, 5, 16
28, 3, 4, 6, 15
28, 3, 4, 7, 14
28, 3, 4, 8, 13
28, 3, 4, 9, 12
28, 3, 4, 10, 11
28, 3, 5, 6, 14
28, 3, 5, 7, 13
28, 3, 5, 8, 12
28, 3, 5, 9, 11
28, 3, 6, 7, 12
28, 3, 6, 8, 11
28, 3, 6, 9, 10
28, 3, 7, 8, 10
28, 4, 5, 6, 13
28, 4, 5, 7, 12
28, 4, 5, 8, 11
28, 4, 5, 9, 10
28, 4, 6, 7, 11
28, 4, 6, 8, 10
28, 4, 7, 8, 9
28, 5, 6, 7, 10
28, 5, 6, 8, 9
29, 0, 1, 2, 26
29, 0, 1, 3, 25
29, 0, 1, 4, 24
29, 0, 1, 5, 23
29, 0, 1, 6, 22
29, 0, 1, 7, 21
29, 0, 1, 8, 20
29, 0, 1, 9, 19
29, 0, 1, 10, 18
29, 0, 1, 11, 17
29, 0, 1, 12, 16
29, 0, 1, 13, 15
29, 0, 2, 3, 24
29, 0, 2, 4, 23
29, 0, 2, 5, 22
29, 0, 2, 6, 21
29, 0, 2, 7, 20
29, 0, 2, 8, 19
